step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
825.0,31,0,2,554,585,0,4.0,0.12903225806451613,7.706830634030946,2,30.0,0.4380725464401361,2,30.0
830.0,27,0,7,560,587,0,26.0,0.9629629629629629,6.586064395340559,7,26.0,0.26019897339868503,7,26.0
835.0,26,0,12,564,590,0,77.0,2.9615384615384617,5.986540095046858,12,77.0,0.22432217285126935,12,77.0
840.0,23,0,9,568,591,0,62.0,2.6956521739130435,4.502128783116322,9,107.0,0.18207933171719268,9,107.0
845.0,23,0,2,572,595,0,4.0,0.17391304347826086,7.468845475140093,2,85.0,0.42280032997496814,2,85.0
850.0,26,0,0,572,598,0,0.0,0.0,9.570496260272195,0,28.0,0.5387931096867398,0,28.0
855.0,24,0,0,576,600,0,0.0,0.0,10.572536588409774,0,1.0,0.7086797732772946,0,1.0
860.0,24,0,1,580,604,0,1.0,0.041666666666666664,8.686198101881702,1,1.0,0.5487018681361259,1,1.0
865.0,23,0,5,584,607,0,18.0,0.782608695652174,7.28186735725158,5,18.0,0.4066577074738757,5,18.0
870.0,20,0,10,590,610,0,62.0,3.1,5.040933879742795,10,62.0,0.2898340018601379,10,62.0
875.0,23,0,8,590,613,0,48.0,2.0869565217391304,5.185067254173667,8,89.0,0.31492328476592496,8,89.0
880.0,24,0,1,592,616,0,3.0,0.125,6.69511580033192,1,67.0,0.39897966721437644,1,67.0
885.0,28,0,2,592,620,0,12.0,0.42857142857142855,9.51396367407199,2,33.0,0.5487121267610021,2,33.0
890.0,29,0,2,594,623,0,4.0,0.13793103448275862,8.462998452044186,2,19.0,0.4860131708667962,2,19.0
895.0,26,0,7,600,626,0,27.0,1.0384615384615385,6.469348102471562,7,41.0,0.290061731489951,7,41.0
900.0,27,0,13,604,631,0,80.0,2.962962962962963,5.471821681393152,13,94.0,0.2730606103797179,13,94.0
905.0,28,0,13,606,634,0,76.0,2.7142857142857144,3.933214263086114,13,126.0,0.17240523810840647,13,126.0
910.0,29,0,7,608,637,0,32.0,1.103448275862069,5.89959608278372,7,123.0,0.2853111636394027,7,123.0
915.0,29,0,2,609,638,0,3.0,0.10344827586206896,7.478653054803026,2,82.0,0.27472475004633023,2,82.0
920.0,26,0,1,614,640,0,6.0,0.23076923076923078,10.212535914653264,1,56.0,0.6020725362240109,1,56.0
925.0,26,0,1,618,644,0,2.0,0.07692307692307693,9.564163146478657,1,39.0,0.590482742258881,1,39.0
930.0,26,0,6,624,650,0,20.0,0.7692307692307693,7.817010444249123,6,57.0,0.4369415626310823,6,57.0
935.0,27,0,12,627,654,0,72.0,2.6666666666666665,5.431309154566633,12,109.0,0.2940840769416693,12,109.0
940.0,30,0,11,629,659,0,66.0,2.2,4.838248709120461,11,133.0,0.3018125799363815,11,133.0
945.0,32,0,8,630,662,0,26.0,0.8125,5.6138487472567284,8,92.0,0.24591072089947422,8,92.0
950.0,34,0,6,631,665,0,23.0,0.6764705882352942,7.501557280667581,6,81.0,0.30824638811612065,6,81.0
955.0,31,0,4,636,667,0,40.0,1.2903225806451613,9.487865847238814,4,64.0,0.5525707116825419,4,64.0
960.0,33,0,5,640,673,0,62.0,1.878787878787879,9.940799865866188,5,66.0,0.626250208529769,5,66.0
965.0,29,0,3,646,675,0,5.0,0.1724137931034483,8.371158500191955,3,49.0,0.500423852901036,3,49.0
970.0,29,0,6,650,679,0,22.0,0.7586206896551724,8.596091419153629,6,29.0,0.4380238874415547,6,29.0
975.0,28,0,8,655,683,0,60.0,2.142857142857143,9.271859136699131,8,64.0,0.44572381249942616,8,64.0
980.0,28,0,4,660,688,0,22.0,0.7857142857142857,7.264351832067912,4,68.0,0.4070840677219799,4,68.0
985.0,26,0,1,665,691,0,5.0,0.19230769230769232,8.39144141953493,1,31.0,0.46539023761530834,1,31.0
990.0,28,0,3,667,695,0,16.0,0.5714285714285714,9.42065609108655,3,16.0,0.5664075722064593,3,16.0
995.0,29,0,2,669,698,0,4.0,0.13793103448275862,7.922130144939519,2,9.0,0.4369529818663413,2,9.0
1000.0,28,0,7,674,702,0,31.0,1.1071428571428572,7.21136918389014,7,31.0,0.30599398876490597,7,31.0
1005.0,26,0,14,678,704,0,88.0,3.3846153846153846,4.9725200917941885,14,88.0,0.1638087004138472,14,88.0
1010.0,24,0,12,683,707,0,78.0,3.25,3.179670146193825,12,129.0,0.18335421920675743,12,129.0
1015.0,26,0,5,684,710,0,23.0,0.8846153846153846,6.098679061361649,5,108.0,0.28666754959549756,5,108.0
1020.0,31,0,0,684,715,0,0.0,0.0,8.604859383153542,0,65.0,0.44308567989857023,0,65.0
1025.0,33,0,1,686,719,0,3.0,0.09090909090909091,9.695045053086975,1,28.0,0.5462509700688257,1,28.0
1030.0,32,0,1,693,725,0,1.0,0.03125,9.174785287395135,1,19.0,0.5918672288485398,1,19.0
1035.0,29,0,8,698,727,0,25.0,0.8620689655172413,6.883821824239931,8,43.0,0.3114931046786944,8,43.0
1040.0,28,0,14,703,731,0,82.0,2.9285714285714284,4.391941721217761,14,100.0,0.23171689925632144,14,100.0
1045.0,27,0,20,706,733,0,170.0,6.296296296296297,3.0912732535978584,20,188.0,0.1769308802633075,20,188.0
1050.0,30,0,16,707,737,0,161.0,5.366666666666666,3.3511653036716633,16,233.0,0.21551521927347797,16,233.0
1055.0,35,0,12,707,742,0,78.0,2.2285714285714286,4.894134549932645,12,227.0,0.2418795998528629,12,227.0
1060.0,37,0,6,708,745,0,31.0,0.8378378378378378,6.9211999994465065,6,173.0,0.2868192480720506,6,173.0
1065.0,38,0,3,712,750,0,5.0,0.13157894736842105,6.895450727261573,3,173.0,0.39522015322292514,3,173.0
1070.0,38,0,8,716,754,0,34.0,0.8947368421052632,6.013305782618036,8,202.0,0.32202133912119646,8,202.0
